t, x, xd, y, yd
3.244499999999999496e+00,-6.181979269560754497e-01,1.306790506002927232e-01,9.269397500782589061e-01,5.462455720243171164e-01
3.275399999999999867e+00,-6.137238674965015406e-01,1.588318860088685502e-01,9.438089604120297738e-01,5.454564712200967724e-01
3.306299999999999795e+00,-6.083866514757506616e-01,1.865443803777732945e-01,9.606393255645095941e-01,5.437320550670248220e-01
3.337199999999999722e+00,-6.022001150106116585e-01,2.138014769592999076e-01,9.774020224584787364e-01,5.410777055295229454e-01
3.368099999999999650e+00,-5.951785768519272102e-01,2.405870229913089631e-01,9.940684235866685814e-01,5.375006787459408741e-01
3.398999999999999577e+00,-5.873368696355348861e-01,2.668839368859956540e-01,1.010610153131859867e+00,5.330099914136653405e-01
3.429899999999999505e+00,-5.786903661583673308e-01,2.926743632197406630e-01,1.026999139782851955e+00,5.276163201512069634e-01
3.460799999999999876e+00,-5.692550010402435134e-01,3.179398165704643842e-01,1.043207666612868456e+00,5.213319116727223035e-01
3.491699999999999804e+00,-5.590472881010203343e-01,3.426613151541419988e-01,1.059208418325630952e+00,5.141705019595080861e-01
3.522599999999999731e+00,-5.480843337547758320e-01,3.668195051218878788e-01,1.074974526122878249e+00,5.061472429039574061e-01
3.553499999999999659e+00,-5.363838466974027996e-01,3.903947762943864586e-01,1.090479610403851440e+00,4.972786351445163122e-01
3.584399999999999586e+00,-5.239641441412131728e-01,4.133673700320592004e-01,1.105697821470918996e+00,4.875824660136163780e-01
3.615299999999999514e+00,-5.108441548297053547e-01,4.357174798673381089e-01,1.120603878384909047e+00,4.770777516912241278e-01
3.646199999999999442e+00,-4.970434190473217440e-01,4.574253454597299040e-01,1.135173106087963291e+00,4.657846828001162010e-01
3.677099999999999813e+00,-4.825820858226333998e-01,4.784713403747423155e-01,1.149381470890040946e+00,4.537245727998463485e-01
3.707999999999999741e+00,-4.674809075087565380e-01,4.988360541338699994e-01,1.163205614396951137e+00,4.409198086383982473e-01
3.738899999999999668e+00,-4.517612319117425557e-01,5.185003689343156141e-01,1.176622885942451679e+00,4.273938032068188009e-01
3.769799999999999596e+00,-4.354449921260596934e-01,5.374455313935172507e-01,1.189611373574051667e+00,4.131709492152838004e-01
3.800699999999999523e+00,-4.185546942259193992e-01,5.556532196344756702e-01,1.202149933631363021e+00,3.982765741711709051e-01
